N,greedy,sqrtN,error,Nq,err_ratio,is_singer
870,25,29.49576240750525,-4.49576240750525,5.43100012958067,-0.8277964095449893,True
900,25,30.0,-5.0,5.477225575051661,-0.9128709291752769,False
950,26,30.822070014844883,-4.822070014844883,5.551762784453681,-0.8685655713439127,False
992,27,31.496031496047245,-4.4960314960472445,5.612132526593366,-0.8011271071633783,True
1000,27,31.622776601683793,-4.622776601683793,5.623413251903491,-0.8220588447983991,False
1100,28,33.166247903554,-5.166247903554002,5.75901449065324,-0.8970715235981284,False
1200,29,34.64101615137755,-5.641016151377549,5.885661912765424,-0.9584336027087689,False
1300,29,36.05551275463989,-7.055512754639892,6.004624280888846,-1.1750131939305095,False
1400,31,37.416573867739416,-6.416573867739416,6.116908849062524,-1.0489896164993235,False
1406,31,37.49666651850535,-6.49666651850535,6.123452173284719,-1.0609483563616098,True
1500,31,38.72983346207417,-7.729833462074168,6.223329772884783,-1.2420735754279426,False
1600,33,40.0,-7.0,6.324555320336759,-1.1067971810589328,False
1700,33,41.23105625617661,-8.231056256176608,6.4211413515181714,-1.2818680987657298,False
1722,33,41.49698784249286,-8.496987842492857,6.441815570356921,-1.3190361862567366,True
1800,33,42.42640687119285,-9.426406871192853,6.5135556243263055,-1.4471983375697084,False
1892,34,43.497126341863094,-9.497126341863094,6.5952351240773135,-1.4399981445986372,True
1900,35,43.58898943540674,-8.588989435406738,6.602195804079635,-1.3009292196543796,False
2000,35,44.721359549995796,-9.721359549995796,6.68740304976422,-1.4536823154899488,False
2100,36,45.8257569495584,-9.825756949558397,6.769472427712399,-1.4514804594423623,False
2200,36,46.9041575982343,-10.904157598234299,6.848661007688605,-1.5921590491911948,False
2256,37,47.49736834815167,-10.497368348151667,6.891833453309189,-1.5231604796124667,True
2300,37,47.958315233127195,-10.958315233127195,6.9251942379349325,-1.5823838085435311,False
2400,38,48.98979485566356,-10.989794855663561,6.999271023161167,-1.5701342067334472,False
2500,38,50.0,-12.0,7.0710678118654755,-1.697056274847714,False
2600,39,50.99019513592785,-11.990195135927848,7.1407419177511136,-1.6791245607296796,False
2700,39,51.96152422706632,-12.96152422706632,7.2084342424042624,-1.7981053570301007,False
2800,40,52.91502622129181,-12.91502622129181,7.27427152512826,-1.7754391180859987,False
2900,40,53.85164807134504,-13.85164807134504,7.338368215846425,-1.8875651458091023,False
